variante,id,familia,rango,rango_contexto,hit5,hit5_contexto
ninguno__literal__denso,g3-008,extractiva,,,False,False
ninguno__literal__denso,g3-009,extractiva,,,False,False
ninguno__literal__denso,g3-010,extractiva,3.0,4.0,True,True
ninguno__literal__denso,g3-011,extractiva,1.0,1.0,True,True
ninguno__literal__denso,g3-012,extractiva,,,False,False
ninguno__literal__denso,g3-013,extractiva,8.0,8.0,False,False
ninguno__literal__denso,g3-014,comparativa,,,False,False
ninguno__literal__denso,g3-015,comparativa,,,False,False
ninguno__literal__denso,g3-016,comparativa,,,False,False
ninguno__literal__denso,g3-017,comparativa,5.0,5.0,True,True
ninguno__literal__denso,g3-018,comparativa,,,False,False
ninguno__literal__denso,g3-019,comparativa,2.0,2.0,True,True
ninguno__literal__denso,g3-020,comparativa,2.0,2.0,True,True
ninguno__literal__bm25,g3-008,extractiva,,,False,False
ninguno__literal__bm25,g3-009,extractiva,,,False,False
ninguno__literal__bm25,g3-010,extractiva,2.0,2.0,True,True
ninguno__literal__bm25,g3-011,extractiva,,,False,False
ninguno__literal__bm25,g3-012,extractiva,,,False,False
ninguno__literal__bm25,g3-013,extractiva,17.0,17.0,False,False
ninguno__literal__bm25,g3-014,comparativa,,,False,False
ninguno__literal__bm25,g3-015,comparativa,,,False,False
ninguno__literal__bm25,g3-016,comparativa,,,False,False
ninguno__literal__bm25,g3-017,comparativa,,,False,False
ninguno__literal__bm25,g3-018,comparativa,5.0,,True,False
ninguno__literal__bm25,g3-019,comparativa,,,False,False
ninguno__literal__bm25,g3-020,comparativa,18.0,18.0,False,False
ninguno__literal__hibrido,g3-008,extractiva,,,False,False
ninguno__literal__hibrido,g3-009,extractiva,,,False,False
ninguno__literal__hibrido,g3-010,extractiva,1.0,1.0,True,True
ninguno__literal__hibrido,g3-011,extractiva,2.0,2.0,True,True
ninguno__literal__hibrido,g3-012,extractiva,,,False,False
ninguno__literal__hibrido,g3-013,extractiva,3.0,3.0,True,True
ninguno__literal__hibrido,g3-014,comparativa,,,False,False
ninguno__literal__hibrido,g3-015,comparativa,,,False,False
ninguno__literal__hibrido,g3-016,comparativa,,,False,False
ninguno__literal__hibrido,g3-017,comparativa,10.0,10.0,False,False
ninguno__literal__hibrido,g3-018,comparativa,10.0,,False,False
ninguno__literal__hibrido,g3-019,comparativa,4.0,4.0,True,True
ninguno__literal__hibrido,g3-020,comparativa,2.0,2.0,True,True
ninguno__breve__denso,g3-008,extractiva,,,False,False
ninguno__breve__denso,g3-009,extractiva,,,False,False
ninguno__breve__denso,g3-010,extractiva,2.0,3.0,True,True
ninguno__breve__denso,g3-011,extractiva,3.0,3.0,True,True
ninguno__breve__denso,g3-012,extractiva,,,False,False
ninguno__breve__denso,g3-013,extractiva,4.0,4.0,True,True
ninguno__breve__denso,g3-014,comparativa,,,False,False
ninguno__breve__denso,g3-015,comparativa,5.0,5.0,True,True
ninguno__breve__denso,g3-016,comparativa,,,False,False
ninguno__breve__denso,g3-017,comparativa,,,False,False
ninguno__breve__denso,g3-018,comparativa,,,False,False
ninguno__breve__denso,g3-019,comparativa,2.0,2.0,True,True
ninguno__breve__denso,g3-020,comparativa,,,False,False
ninguno__breve__bm25,g3-008,extractiva,,,False,False
ninguno__breve__bm25,g3-009,extractiva,,,False,False
ninguno__breve__bm25,g3-010,extractiva,3.0,3.0,True,True
ninguno__breve__bm25,g3-011,extractiva,16.0,16.0,False,False
ninguno__breve__bm25,g3-012,extractiva,,,False,False
ninguno__breve__bm25,g3-013,extractiva,,,False,False
ninguno__breve__bm25,g3-014,comparativa,11.0,11.0,False,False
ninguno__breve__bm25,g3-015,comparativa,,,False,False
ninguno__breve__bm25,g3-016,comparativa,,,False,False
ninguno__breve__bm25,g3-017,comparativa,5.0,5.0,True,True
ninguno__breve__bm25,g3-018,comparativa,,,False,False
ninguno__breve__bm25,g3-019,comparativa,17.0,17.0,False,False
ninguno__breve__bm25,g3-020,comparativa,,,False,False
ninguno__breve__hibrido,g3-008,extractiva,,,False,False
ninguno__breve__hibrido,g3-009,extractiva,,,False,False
ninguno__breve__hibrido,g3-010,extractiva,1.0,2.0,True,True
ninguno__breve__hibrido,g3-011,extractiva,5.0,5.0,True,True
ninguno__breve__hibrido,g3-012,extractiva,,,False,False
ninguno__breve__hibrido,g3-013,extractiva,13.0,13.0,False,False
ninguno__breve__hibrido,g3-014,comparativa,,,False,False
ninguno__breve__hibrido,g3-015,comparativa,11.0,11.0,False,False
ninguno__breve__hibrido,g3-016,comparativa,,,False,False
ninguno__breve__hibrido,g3-017,comparativa,11.0,11.0,False,False
ninguno__breve__hibrido,g3-018,comparativa,,,False,False
ninguno__breve__hibrido,g3-019,comparativa,6.0,6.0,False,False
ninguno__breve__hibrido,g3-020,comparativa,,,False,False
ninguno__expandida__denso,g3-008,extractiva,17.0,17.0,False,False
ninguno__expandida__denso,g3-009,extractiva,,,False,False
ninguno__expandida__denso,g3-010,extractiva,2.0,2.0,True,True
ninguno__expandida__denso,g3-011,extractiva,4.0,4.0,True,True
ninguno__expandida__denso,g3-012,extractiva,,,False,False
ninguno__expandida__denso,g3-013,extractiva,1.0,1.0,True,True
ninguno__expandida__denso,g3-014,comparativa,7.0,7.0,False,False
ninguno__expandida__denso,g3-015,comparativa,,,False,False
ninguno__expandida__denso,g3-016,comparativa,,,False,False
ninguno__expandida__denso,g3-017,comparativa,17.0,17.0,False,False
ninguno__expandida__denso,g3-018,comparativa,,,False,False
ninguno__expandida__denso,g3-019,comparativa,13.0,13.0,False,False
ninguno__expandida__denso,g3-020,comparativa,,,False,False
ninguno__expandida__bm25,g3-008,extractiva,,,False,False
ninguno__expandida__bm25,g3-009,extractiva,,,False,False
ninguno__expandida__bm25,g3-010,extractiva,3.0,3.0,True,True
ninguno__expandida__bm25,g3-011,extractiva,,,False,False
ninguno__expandida__bm25,g3-012,extractiva,5.0,5.0,True,True
ninguno__expandida__bm25,g3-013,extractiva,,,False,False
ninguno__expandida__bm25,g3-014,comparativa,3.0,3.0,True,True
ninguno__expandida__bm25,g3-015,comparativa,,,False,False
ninguno__expandida__bm25,g3-016,comparativa,,,False,False
ninguno__expandida__bm25,g3-017,comparativa,10.0,10.0,False,False
ninguno__expandida__bm25,g3-018,comparativa,,,False,False
ninguno__expandida__bm25,g3-019,comparativa,9.0,9.0,False,False
ninguno__expandida__bm25,g3-020,comparativa,,,False,False
ninguno__expandida__hibrido,g3-008,extractiva,,,False,False
ninguno__expandida__hibrido,g3-009,extractiva,,,False,False
ninguno__expandida__hibrido,g3-010,extractiva,2.0,2.0,True,True
ninguno__expandida__hibrido,g3-011,extractiva,6.0,6.0,False,False
ninguno__expandida__hibrido,g3-012,extractiva,14.0,14.0,False,False
ninguno__expandida__hibrido,g3-013,extractiva,7.0,7.0,False,False
ninguno__expandida__hibrido,g3-014,comparativa,1.0,1.0,True,True
ninguno__expandida__hibrido,g3-015,comparativa,,,False,False
ninguno__expandida__hibrido,g3-016,comparativa,,,False,False
ninguno__expandida__hibrido,g3-017,comparativa,6.0,6.0,False,False
ninguno__expandida__hibrido,g3-018,comparativa,,,False,False
ninguno__expandida__hibrido,g3-019,comparativa,9.0,9.0,False,False
ninguno__expandida__hibrido,g3-020,comparativa,,,False,False
ninguno__multiquery__denso,g3-008,extractiva,,,False,False
ninguno__multiquery__denso,g3-009,extractiva,,,False,False
ninguno__multiquery__denso,g3-010,extractiva,1.0,2.0,True,True
ninguno__multiquery__denso,g3-011,extractiva,2.0,2.0,True,True
ninguno__multiquery__denso,g3-012,extractiva,,,False,False
ninguno__multiquery__denso,g3-013,extractiva,1.0,1.0,True,True
ninguno__multiquery__denso,g3-014,comparativa,,,False,False
ninguno__multiquery__denso,g3-015,comparativa,16.0,16.0,False,False
ninguno__multiquery__denso,g3-016,comparativa,,,False,False
ninguno__multiquery__denso,g3-017,comparativa,11.0,11.0,False,False
ninguno__multiquery__denso,g3-018,comparativa,,,False,False
ninguno__multiquery__denso,g3-019,comparativa,3.0,3.0,True,True
ninguno__multiquery__denso,g3-020,comparativa,10.0,10.0,False,False
ninguno__multiquery__bm25,g3-008,extractiva,,,False,False
ninguno__multiquery__bm25,g3-009,extractiva,,,False,False
ninguno__multiquery__bm25,g3-010,extractiva,1.0,1.0,True,True
ninguno__multiquery__bm25,g3-011,extractiva,,,False,False
ninguno__multiquery__bm25,g3-012,extractiva,19.0,19.0,False,False
ninguno__multiquery__bm25,g3-013,extractiva,,,False,False
ninguno__multiquery__bm25,g3-014,comparativa,2.0,2.0,True,True
ninguno__multiquery__bm25,g3-015,comparativa,,,False,False
ninguno__multiquery__bm25,g3-016,comparativa,,,False,False
ninguno__multiquery__bm25,g3-017,comparativa,8.0,8.0,False,False
ninguno__multiquery__bm25,g3-018,comparativa,17.0,,False,False
ninguno__multiquery__bm25,g3-019,comparativa,7.0,7.0,False,False
ninguno__multiquery__bm25,g3-020,comparativa,,,False,False
ninguno__multiquery__hibrido,g3-008,extractiva,,,False,False
ninguno__multiquery__hibrido,g3-009,extractiva,,,False,False
ninguno__multiquery__hibrido,g3-010,extractiva,1.0,1.0,True,True
ninguno__multiquery__hibrido,g3-011,extractiva,4.0,4.0,True,True
ninguno__multiquery__hibrido,g3-012,extractiva,,,False,False
ninguno__multiquery__hibrido,g3-013,extractiva,4.0,4.0,True,True
ninguno__multiquery__hibrido,g3-014,comparativa,2.0,2.0,True,True
ninguno__multiquery__hibrido,g3-015,comparativa,,,False,False
ninguno__multiquery__hibrido,g3-016,comparativa,,,False,False
ninguno__multiquery__hibrido,g3-017,comparativa,7.0,7.0,False,False
ninguno__multiquery__hibrido,g3-018,comparativa,,,False,False
ninguno__multiquery__hibrido,g3-019,comparativa,2.0,2.0,True,True
ninguno__multiquery__hibrido,g3-020,comparativa,,,False,False
ticker_fy_oraculo__literal__denso,g3-008,extractiva,8.0,8.0,False,False
ticker_fy_oraculo__literal__denso,g3-009,extractiva,,,False,False
ticker_fy_oraculo__literal__denso,g3-010,extractiva,2.0,2.0,True,True
