variante,id,rango,rango_contexto
ticker_fy_oraculo__parafrasis__denso,g3-008,4.0,4.0
ticker_fy_oraculo__parafrasis__denso,g3-009,20.0,20.0
ticker_fy_oraculo__parafrasis__denso,g3-010,1.0,1.0
ticker_fy_oraculo__parafrasis__denso,g3-011,2.0,2.0
ticker_fy_oraculo__parafrasis__denso,g3-012,,
ticker_fy_oraculo__parafrasis__denso,g3-013,1.0,1.0
ticker_fy_oraculo__parafrasis__denso,g3-014,11.0,11.0
ticker_fy_oraculo__parafrasis__denso,g3-015,20.0,20.0
ticker_fy_oraculo__parafrasis__denso,g3-016,6.0,6.0
ticker_fy_oraculo__parafrasis__denso,g3-017,7.0,7.0
ticker_fy_oraculo__parafrasis__denso,g3-018,3.0,3.0
ticker_fy_oraculo__parafrasis__denso,g3-019,1.0,1.0
ticker_fy_oraculo__parafrasis__denso,g3-020,,
ticker_fy_oraculo__parafrasis__bm25,g3-008,3.0,3.0
ticker_fy_oraculo__parafrasis__bm25,g3-009,9.0,9.0
ticker_fy_oraculo__parafrasis__bm25,g3-010,2.0,2.0
ticker_fy_oraculo__parafrasis__bm25,g3-011,4.0,4.0
ticker_fy_oraculo__parafrasis__bm25,g3-012,1.0,1.0
ticker_fy_oraculo__parafrasis__bm25,g3-013,3.0,3.0
ticker_fy_oraculo__parafrasis__bm25,g3-014,,
ticker_fy_oraculo__parafrasis__bm25,g3-015,,
ticker_fy_oraculo__parafrasis__bm25,g3-016,,
ticker_fy_oraculo__parafrasis__bm25,g3-017,1.0,1.0
ticker_fy_oraculo__parafrasis__bm25,g3-018,12.0,12.0
ticker_fy_oraculo__parafrasis__bm25,g3-019,3.0,3.0
ticker_fy_oraculo__parafrasis__bm25,g3-020,6.0,6.0
ticker_fy_oraculo__limpieza_generica__denso,g3-008,4.0,4.0
ticker_fy_oraculo__limpieza_generica__denso,g3-009,13.0,13.0
ticker_fy_oraculo__limpieza_generica__denso,g3-010,1.0,1.0
ticker_fy_oraculo__limpieza_generica__denso,g3-011,2.0,2.0
ticker_fy_oraculo__limpieza_generica__denso,g3-012,,
ticker_fy_oraculo__limpieza_generica__denso,g3-013,1.0,1.0
ticker_fy_oraculo__limpieza_generica__denso,g3-014,1.0,1.0
ticker_fy_oraculo__limpieza_generica__denso,g3-015,2.0,2.0
ticker_fy_oraculo__limpieza_generica__denso,g3-016,5.0,5.0
ticker_fy_oraculo__limpieza_generica__denso,g3-017,1.0,1.0
ticker_fy_oraculo__limpieza_generica__denso,g3-018,4.0,4.0
ticker_fy_oraculo__limpieza_generica__denso,g3-019,1.0,1.0
ticker_fy_oraculo__limpieza_generica__denso,g3-020,,
ticker_fy_oraculo__limpieza_generica__bm25,g3-008,3.0,3.0
ticker_fy_oraculo__limpieza_generica__bm25,g3-009,4.0,4.0
ticker_fy_oraculo__limpieza_generica__bm25,g3-010,2.0,2.0
ticker_fy_oraculo__limpieza_generica__bm25,g3-011,12.0,12.0
ticker_fy_oraculo__limpieza_generica__bm25,g3-012,2.0,2.0
ticker_fy_oraculo__limpieza_generica__bm25,g3-013,3.0,3.0
ticker_fy_oraculo__limpieza_generica__bm25,g3-014,10.0,10.0
ticker_fy_oraculo__limpieza_generica__bm25,g3-015,19.0,19.0
ticker_fy_oraculo__limpieza_generica__bm25,g3-016,,
ticker_fy_oraculo__limpieza_generica__bm25,g3-017,1.0,1.0
ticker_fy_oraculo__limpieza_generica__bm25,g3-018,4.0,4.0
ticker_fy_oraculo__limpieza_generica__bm25,g3-019,3.0,3.0
ticker_fy_oraculo__limpieza_generica__bm25,g3-020,10.0,10.0
ticker_fy_oraculo__expandida_denso_breve_bm25,g3-008,1.0,1.0
ticker_fy_oraculo__expandida_denso_breve_bm25,g3-009,3.0,3.0
ticker_fy_oraculo__expandida_denso_breve_bm25,g3-010,1.0,1.0
ticker_fy_oraculo__expandida_denso_breve_bm25,g3-011,2.0,2.0
ticker_fy_oraculo__expandida_denso_breve_bm25,g3-012,5.0,5.0
ticker_fy_oraculo__expandida_denso_breve_bm25,g3-013,1.0,1.0
ticker_fy_oraculo__expandida_denso_breve_bm25,g3-014,1.0,1.0
ticker_fy_oraculo__expandida_denso_breve_bm25,g3-015,4.0,4.0
ticker_fy_oraculo__expandida_denso_breve_bm25,g3-016,6.0,6.0
ticker_fy_oraculo__expandida_denso_breve_bm25,g3-017,1.0,1.0
ticker_fy_oraculo__expandida_denso_breve_bm25,g3-018,3.0,3.0
ticker_fy_oraculo__expandida_denso_breve_bm25,g3-019,1.0,1.0
ticker_fy_oraculo__expandida_denso_breve_bm25,g3-020,16.0,16.0
ticker_fy_item_oraculo__parafrasis__denso,g3-008,4.0,4.0
ticker_fy_item_oraculo__parafrasis__denso,g3-009,19.0,19.0
ticker_fy_item_oraculo__parafrasis__denso,g3-010,1.0,1.0
ticker_fy_item_oraculo__parafrasis__denso,g3-011,2.0,2.0
ticker_fy_item_oraculo__parafrasis__denso,g3-012,,
ticker_fy_item_oraculo__parafrasis__denso,g3-013,1.0,1.0
ticker_fy_item_oraculo__parafrasis__denso,g3-014,3.0,3.0
ticker_fy_item_oraculo__parafrasis__denso,g3-015,7.0,7.0
ticker_fy_item_oraculo__parafrasis__denso,g3-016,2.0,2.0
ticker_fy_item_oraculo__parafrasis__denso,g3-017,3.0,3.0
ticker_fy_item_oraculo__parafrasis__denso,g3-018,3.0,3.0
ticker_fy_item_oraculo__parafrasis__denso,g3-019,1.0,1.0
ticker_fy_item_oraculo__parafrasis__denso,g3-020,,
ticker_fy_item_oraculo__parafrasis__bm25,g3-008,3.0,3.0
ticker_fy_item_oraculo__parafrasis__bm25,g3-009,9.0,9.0
ticker_fy_item_oraculo__parafrasis__bm25,g3-010,1.0,1.0
ticker_fy_item_oraculo__parafrasis__bm25,g3-011,4.0,4.0
ticker_fy_item_oraculo__parafrasis__bm25,g3-012,1.0,1.0
ticker_fy_item_oraculo__parafrasis__bm25,g3-013,2.0,2.0
ticker_fy_item_oraculo__parafrasis__bm25,g3-014,6.0,6.0
ticker_fy_item_oraculo__parafrasis__bm25,g3-015,9.0,9.0
ticker_fy_item_oraculo__parafrasis__bm25,g3-016,16.0,16.0
ticker_fy_item_oraculo__parafrasis__bm25,g3-017,1.0,1.0
