variante,filtro,consulta,motor,n,hits@1,recall@1,hits@3,recall@3,hits@5,recall@5,hits@10,recall@10,hits@20,recall@20,hits@5_contexto,mrr@10
ninguno__literal__denso,ninguno,literal,denso,13,1,0.07692307692307693,4,0.3076923076923077,5,0.38461538461538464,6,0.46153846153846156,6,0.46153846153846156,5,0.20448717948717948
ninguno__literal__bm25,ninguno,literal,bm25,13,0,0.0,1,0.07692307692307693,2,0.15384615384615385,2,0.15384615384615385,4,0.3076923076923077,1,0.05384615384615384
ninguno__literal__hibrido,ninguno,literal,hibrido,13,1,0.07692307692307693,4,0.3076923076923077,5,0.38461538461538464,7,0.5384615384615384,7,0.5384615384615384,5,0.2141025641025641
ninguno__breve__denso,ninguno,breve,denso,13,0,0.0,3,0.23076923076923078,5,0.38461538461538464,5,0.38461538461538464,5,0.38461538461538464,5,0.13717948717948716
ninguno__breve__bm25,ninguno,breve,bm25,13,0,0.0,1,0.07692307692307693,2,0.15384615384615385,2,0.15384615384615385,5,0.38461538461538464,2,0.041025641025641026
ninguno__breve__hibrido,ninguno,breve,hibrido,13,1,0.07692307692307693,1,0.07692307692307693,2,0.15384615384615385,3,0.23076923076923078,6,0.46153846153846156,2,0.10512820512820513
ninguno__expandida__denso,ninguno,expandida,denso,13,1,0.07692307692307693,2,0.15384615384615385,3,0.23076923076923078,4,0.3076923076923077,7,0.5384615384615384,3,0.1456043956043956
ninguno__expandida__bm25,ninguno,expandida,bm25,13,0,0.0,2,0.15384615384615385,3,0.23076923076923078,5,0.38461538461538464,5,0.38461538461538464,3,0.0829059829059829
ninguno__expandida__hibrido,ninguno,expandida,hibrido,13,1,0.07692307692307693,2,0.15384615384615385,2,0.15384615384615385,6,0.46153846153846156,7,0.5384615384615384,2,0.16056166056166057
ninguno__multiquery__denso,ninguno,multiquery,denso,13,2,0.15384615384615385,4,0.3076923076923077,4,0.3076923076923077,5,0.38461538461538464,7,0.5384615384615384,4,0.22564102564102562
ninguno__multiquery__bm25,ninguno,multiquery,bm25,13,1,0.07692307692307693,2,0.15384615384615385,2,0.15384615384615385,4,0.3076923076923077,6,0.46153846153846156,2,0.13598901098901098
ninguno__multiquery__hibrido,ninguno,multiquery,hibrido,13,1,0.07692307692307693,3,0.23076923076923078,5,0.38461538461538464,6,0.46153846153846156,6,0.46153846153846156,5,0.2032967032967033
ticker_fy_oraculo__literal__denso,ticker_fy_oraculo,literal,denso,13,4,0.3076923076923077,6,0.46153846153846156,6,0.46153846153846156,7,0.5384615384615384,9,0.6923076923076923,6,0.3814102564102564
ticker_fy_oraculo__literal__bm25,ticker_fy_oraculo,literal,bm25,13,0,0.0,4,0.3076923076923077,4,0.3076923076923077,5,0.38461538461538464,9,0.6923076923076923,4,0.15201465201465203
ticker_fy_oraculo__literal__hibrido,ticker_fy_oraculo,literal,hibrido,13,2,0.15384615384615385,5,0.38461538461538464,5,0.38461538461538464,6,0.46153846153846156,8,0.6153846153846154,5,0.2641025641025641
ticker_fy_oraculo__breve__denso,ticker_fy_oraculo,breve,denso,13,4,0.3076923076923077,6,0.46153846153846156,10,0.7692307692307693,10,0.7692307692307693,10,0.7692307692307693,10,0.441025641025641
ticker_fy_oraculo__breve__bm25,ticker_fy_oraculo,breve,bm25,13,1,0.07692307692307693,5,0.38461538461538464,11,0.8461538461538461,13,1.0,13,1.0,11,0.32957875457875463
ticker_fy_oraculo__breve__hibrido,ticker_fy_oraculo,breve,hibrido,13,3,0.23076923076923078,9,0.6923076923076923,10,0.7692307692307693,10,0.7692307692307693,13,1.0,10,0.4641025641025641
ticker_fy_oraculo__expandida__denso,ticker_fy_oraculo,expandida,denso,13,5,0.38461538461538464,7,0.5384615384615384,8,0.6153846153846154,11,0.8461538461538461,12,0.9230769230769231,8,0.5064102564102564
ticker_fy_oraculo__expandida__bm25,ticker_fy_oraculo,expandida,bm25,13,5,0.38461538461538464,6,0.46153846153846156,7,0.5384615384615384,9,0.6923076923076923,12,0.9230769230769231,7,0.4636752136752137
ticker_fy_oraculo__expandida__hibrido,ticker_fy_oraculo,expandida,hibrido,13,6,0.46153846153846156,7,0.5384615384615384,8,0.6153846153846154,11,0.8461538461538461,13,1.0,8,0.538003663003663
ticker_fy_oraculo__multiquery__denso,ticker_fy_oraculo,multiquery,denso,13,5,0.38461538461538464,6,0.46153846153846156,8,0.6153846153846154,10,0.7692307692307693,12,0.9230769230769231,8,0.4641025641025641
ticker_fy_oraculo__multiquery__bm25,ticker_fy_oraculo,multiquery,bm25,13,4,0.3076923076923077,9,0.6923076923076923,9,0.6923076923076923,12,0.9230769230769231,13,1.0,9,0.5173076923076922
ticker_fy_oraculo__multiquery__hibrido,ticker_fy_oraculo,multiquery,hibrido,13,5,0.38461538461538464,8,0.6153846153846154,9,0.6923076923076923,13,1.0,13,1.0,9,0.5355616605616605
ticker_fy_item_oraculo__literal__denso,ticker_fy_item_oraculo,literal,denso,13,5,0.38461538461538464,6,0.46153846153846156,7,0.5384615384615384,10,0.7692307692307693,13,1.0,7,0.45576923076923076
ticker_fy_item_oraculo__literal__bm25,ticker_fy_item_oraculo,literal,bm25,13,1,0.07692307692307693,5,0.38461538461538464,6,0.46153846153846156,9,0.6923076923076923,12,0.9230769230769231,6,0.26303418803418804
ticker_fy_item_oraculo__literal__hibrido,ticker_fy_item_oraculo,literal,hibrido,13,4,0.3076923076923077,5,0.38461538461538464,6,0.46153846153846156,12,0.9230769230769231,13,1.0,6,0.4194444444444444
ticker_fy_item_oraculo__breve__denso,ticker_fy_item_oraculo,breve,denso,13,4,0.3076923076923077,8,0.6153846153846154,10,0.7692307692307693,10,0.7692307692307693,11,0.8461538461538461,10,0.46153846153846156
ticker_fy_item_oraculo__breve__bm25,ticker_fy_item_oraculo,breve,bm25,13,3,0.23076923076923078,9,0.6923076923076923,12,0.9230769230769231,13,1.0,13,1.0,12,0.47124542124542124
ticker_fy_item_oraculo__breve__hibrido,ticker_fy_item_oraculo,breve,hibrido,13,5,0.38461538461538464,9,0.6923076923076923,10,0.7692307692307693,11,0.8461538461538461,13,1.0,10,0.5558608058608059
ticker_fy_item_oraculo__expandida__denso,ticker_fy_item_oraculo,expandida,denso,13,5,0.38461538461538464,10,0.7692307692307693,12,0.9230769230769231,12,0.9230769230769231,12,0.9230769230769231,12,0.5692307692307692
ticker_fy_item_oraculo__expandida__bm25,ticker_fy_item_oraculo,expandida,bm25,13,5,0.38461538461538464,6,0.46153846153846156,7,0.5384615384615384,11,0.8461538461538461,12,0.9230769230769231,7,0.4848901098901099
ticker_fy_item_oraculo__expandida__hibrido,ticker_fy_item_oraculo,expandida,hibrido,13,6,0.46153846153846156,7,0.5384615384615384,10,0.7692307692307693,11,0.8461538461538461,13,1.0,10,0.5666666666666667
ticker_fy_item_oraculo__multiquery__denso,ticker_fy_item_oraculo,multiquery,denso,13,5,0.38461538461538464,8,0.6153846153846154,10,0.7692307692307693,12,0.9230769230769231,13,1.0,10,0.5262820512820513
