variante,hits@5,hits@5_contexto,hits@10
ticker_fy_oraculo__parafrasis__denso,6,6,8
ticker_fy_oraculo__parafrasis__bm25,7,7,9
ticker_fy_oraculo__limpieza_generica__denso,10,10,10
ticker_fy_oraculo__limpieza_generica__bm25,8,8,10
ticker_fy_oraculo__expandida_denso_breve_bm25,11,11,12
ticker_fy_item_oraculo__parafrasis__denso,9,9,10
ticker_fy_item_oraculo__parafrasis__bm25,7,7,12
ticker_fy_item_oraculo__limpieza_generica__denso,10,10,10
ticker_fy_item_oraculo__limpieza_generica__bm25,10,10,12
ticker_fy_item_oraculo__expandida_denso_breve_bm25,12,12,12
