id,llamada,recall_agente,ticker,fiscal_years,item
g3-008,1,True,ok,ok,ok
g3-009,1,True,ok,ok,ok
g3-010,1,True,ok,ok,ok
g3-011,1,True,ok,ausente,ausente
g3-011,2,True,ok,ausente,ausente
g3-011,3,True,ok,ausente,ausente
g3-011,4,True,ok,ausente,ausente
g3-011,5,True,ok,ausente,ausente
g3-012,1,True,ok,ok,ok
g3-013,1,True,erroneo,ausente,ausente
g3-014,1,False,ok,ok,ok
g3-015,1,True,ok,ok,ok
g3-016,1,True,ok,ok,ok
g3-017,1,True,ok,ok,ok
g3-018,1,False,ok,ok,erroneo
g3-019,1,True,ok,ok,ok
g3-020,1,False,ok,ok,ok
