antes,despues,id,rango_antes,rango_despues,cambio
0_denso,1_filtro,g3-008,,11.0,igual
0_denso,1_filtro,g3-009,,10.0,igual
0_denso,1_filtro,g3-010,,1.0,ganada
0_denso,1_filtro,g3-011,4.0,1.0,igual
0_denso,1_filtro,g3-012,,8.0,igual
0_denso,1_filtro,g3-013,,16.0,igual
0_denso,1_filtro,g3-014,,,igual
0_denso,1_filtro,g3-015,,20.0,igual
0_denso,1_filtro,g3-016,,16.0,igual
0_denso,1_filtro,g3-017,,8.0,igual
0_denso,1_filtro,g3-018,,,igual
0_denso,1_filtro,g3-019,,1.0,ganada
0_denso,1_filtro,g3-020,4.0,2.0,igual
1_filtro,2_bm25,g3-008,11.0,12.0,igual
1_filtro,2_bm25,g3-009,10.0,17.0,igual
1_filtro,2_bm25,g3-010,1.0,1.0,igual
1_filtro,2_bm25,g3-011,1.0,4.0,igual
1_filtro,2_bm25,g3-012,8.0,4.0,ganada
1_filtro,2_bm25,g3-013,16.0,,igual
1_filtro,2_bm25,g3-014,,,igual
1_filtro,2_bm25,g3-015,20.0,14.0,igual
1_filtro,2_bm25,g3-016,16.0,11.0,igual
1_filtro,2_bm25,g3-017,8.0,7.0,igual
1_filtro,2_bm25,g3-018,,,igual
1_filtro,2_bm25,g3-019,1.0,2.0,igual
1_filtro,2_bm25,g3-020,2.0,1.0,igual
2_bm25,3_reescritura,g3-008,12.0,,igual
2_bm25,3_reescritura,g3-009,17.0,,igual
2_bm25,3_reescritura,g3-010,1.0,,perdida
2_bm25,3_reescritura,g3-011,4.0,16.0,perdida
2_bm25,3_reescritura,g3-012,4.0,,perdida
2_bm25,3_reescritura,g3-013,,,igual
2_bm25,3_reescritura,g3-014,,,igual
2_bm25,3_reescritura,g3-015,14.0,,igual
2_bm25,3_reescritura,g3-016,11.0,,igual
2_bm25,3_reescritura,g3-017,7.0,,igual
2_bm25,3_reescritura,g3-018,,,igual
2_bm25,3_reescritura,g3-019,2.0,7.0,perdida
2_bm25,3_reescritura,g3-020,1.0,3.0,igual
