paso,item,aciertos@5,recall@5
0_denso,1A,0/3,0.0
0_denso,7,1/6,0.16666666666666666
0_denso,7A,0/1,0.0
0_denso,8,1/3,0.3333333333333333
1_filtro,1A,0/3,0.0
1_filtro,7,2/6,0.3333333333333333
1_filtro,7A,1/1,1.0
1_filtro,8,1/3,0.3333333333333333
2_bm25,1A,1/3,0.3333333333333333
2_bm25,7,2/6,0.3333333333333333
2_bm25,7A,1/1,1.0
2_bm25,8,1/3,0.3333333333333333
3_reescritura,1A,0/3,0.0
3_reescritura,7,0/6,0.0
3_reescritura,7A,0/1,0.0
3_reescritura,8,1/3,0.3333333333333333
d_solo_bm25,1A,1/3,0.3333333333333333
d_solo_bm25,7,0/6,0.0
d_solo_bm25,7A,1/1,1.0
d_solo_bm25,8,0/3,0.0
d_rw_oraculo,1A,1/3,0.3333333333333333
d_rw_oraculo,7,2/6,0.3333333333333333
d_rw_oraculo,7A,1/1,1.0
d_rw_oraculo,8,1/3,0.3333333333333333
