paso,id,item,rango,n_relevantes,presente
0_denso,g3-008,1A,,1,True
0_denso,g3-009,1A,,1,True
0_denso,g3-010,7A,,1,True
0_denso,g3-011,7,4.0,1,True
0_denso,g3-012,1A,,1,True
0_denso,g3-013,8,,1,True
0_denso,g3-014,7,,1,True
0_denso,g3-015,7,,1,True
0_denso,g3-016,7,,1,True
0_denso,g3-017,7,,1,True
0_denso,g3-018,8,,1,True
0_denso,g3-019,7,,1,True
0_denso,g3-020,8,4.0,1,True
1_filtro,g3-008,1A,11.0,1,True
1_filtro,g3-009,1A,10.0,1,True
1_filtro,g3-010,7A,1.0,1,True
1_filtro,g3-011,7,1.0,1,True
1_filtro,g3-012,1A,8.0,1,True
1_filtro,g3-013,8,16.0,1,True
1_filtro,g3-014,7,,1,True
1_filtro,g3-015,7,20.0,1,True
1_filtro,g3-016,7,16.0,1,True
1_filtro,g3-017,7,8.0,1,True
1_filtro,g3-018,8,,1,True
1_filtro,g3-019,7,1.0,1,True
1_filtro,g3-020,8,2.0,1,True
2_bm25,g3-008,1A,12.0,1,True
2_bm25,g3-009,1A,17.0,1,True
2_bm25,g3-010,7A,1.0,1,True
2_bm25,g3-011,7,4.0,1,True
2_bm25,g3-012,1A,4.0,1,True
2_bm25,g3-013,8,,1,True
2_bm25,g3-014,7,,1,True
2_bm25,g3-015,7,14.0,1,True
2_bm25,g3-016,7,11.0,1,True
2_bm25,g3-017,7,7.0,1,True
2_bm25,g3-018,8,,1,True
2_bm25,g3-019,7,2.0,1,True
2_bm25,g3-020,8,1.0,1,True
3_reescritura,g3-008,1A,3.0,1,True
3_reescritura,g3-009,1A,10.0,1,True
3_reescritura,g3-010,7A,1.0,1,True
3_reescritura,g3-011,7,17.0,1,True
3_reescritura,g3-012,1A,13.0,1,True
3_reescritura,g3-013,8,2.0,1,True
3_reescritura,g3-014,7,,1,True
3_reescritura,g3-015,7,1.0,1,True
3_reescritura,g3-016,7,3.0,1,True
3_reescritura,g3-017,7,1.0,1,True
3_reescritura,g3-018,8,7.0,1,True
3_reescritura,g3-019,7,1.0,1,True
3_reescritura,g3-020,8,,1,True
d_solo_bm25,g3-008,1A,,1,True
d_solo_bm25,g3-009,1A,,1,True
d_solo_bm25,g3-010,7A,1.0,1,True
d_solo_bm25,g3-011,7,8.0,1,True
d_solo_bm25,g3-012,1A,5.0,1,True
d_solo_bm25,g3-013,8,,1,True
d_solo_bm25,g3-014,7,,1,True
d_solo_bm25,g3-015,7,10.0,1,True
d_solo_bm25,g3-016,7,11.0,1,True
d_solo_bm25,g3-017,7,10.0,1,True
d_solo_bm25,g3-018,8,,1,True
d_solo_bm25,g3-019,7,7.0,1,True
d_solo_bm25,g3-020,8,10.0,1,True
d_rw_oraculo,g3-008,1A,3.0,1,True
d_rw_oraculo,g3-009,1A,10.0,1,True
d_rw_oraculo,g3-010,7A,1.0,1,True
d_rw_oraculo,g3-011,7,17.0,1,True
d_rw_oraculo,g3-012,1A,13.0,1,True
d_rw_oraculo,g3-013,8,2.0,1,True
d_rw_oraculo,g3-014,7,17.0,1,True
d_rw_oraculo,g3-015,7,1.0,1,True
d_rw_oraculo,g3-016,7,2.0,1,True
d_rw_oraculo,g3-017,7,1.0,1,True
d_rw_oraculo,g3-018,8,4.0,1,True
d_rw_oraculo,g3-019,7,1.0,1,True
d_rw_oraculo,g3-020,8,12.0,1,True
