id,llamada,recall_agente,ticker,fiscal_years,item
g3-008,1.0,True,ok,ok,ok
g3-009,1.0,True,ok,ausente,ausente
g3-009,2.0,True,ok,ausente,ausente
g3-009,3.0,True,ok,ausente,ausente
g3-009,4.0,True,ok,ausente,ok
g3-010,1.0,True,ok,ok,ok
g3-011,1.0,True,ausente,ok,ok
g3-012,1.0,True,ok,ok,ok
g3-013,1.0,True,erroneo,ausente,ausente
g3-014,1.0,True,ok,ok,ok
g3-014,2.0,True,ok,ok,ok
g3-015,1.0,True,ausente,ok,ok
g3-015,2.0,True,ausente,ok,ok
g3-016,,False,,,
g3-017,1.0,True,ok,ok,ok
g3-018,1.0,False,ok,ok,erroneo
g3-018,2.0,False,ok,ok,erroneo
g3-019,1.0,True,ok,ausente,ok
g3-019,2.0,True,ok,ausente,ok
g3-019,3.0,True,ok,ausente,ok
g3-020,,False,,,
